,136375BQ4 Corp,278058DB5 Corp,29736RAC4 Corp,20030NAV3 Corp,209111ES8 Corp,773903AE9 Corp,EG6454136 Corp,78409VAB0 Corp,665501AG7 Corp,26882PBE1 Corp,927804FB5 Corp,875127AW2 Corp,45138LAT0 Corp,195869AL6 Corp,010284AN7 Corp,373334GC9 Corp,291641BA5 Corp,90131HBK0 Corp,958587BG1 Corp,15405EAH1 Corp,826418BE4 Corp,20765QAK1 Corp,455434BL3 Corp,035229DC4 Corp,26442CAA2 Corp,59562VAP2 Corp,36962G3A0 Corp,172967EC1 Corp,59022CAJ2 Corp,74432QBD6 Corp
2017-10-10 00:00:00,81.984,116.327,127.04,143.677,133.106,130.588,81.984,129.216,119.014,81.984,81.984,81.984,81.984,129.284,121.295,118.404,121.803,125.629,81.984,81.984,81.984,81.984,81.984,128.985,129.44,127.132,133.509,81.984,126.05,81.984
2017-10-11 00:00:00,82.062,116.51,127.923,143.826,133.325,130.791,82.062,129.42,119.249,82.062,82.062,82.062,82.062,129.555,121.291,118.585,121.93,125.502,82.062,82.062,82.062,82.062,82.062,129.194,129.648,127.257,134.039,82.062,126.037,82.062
2017-10-12 00:00:00,81.845,116.889,128.35,143.679,133.771,131.233,81.845,129.843,119.425,81.845,81.845,81.845,81.845,129.965,121.528,118.938,122.097,125.57,81.845,81.845,81.845,81.845,81.845,129.949,130.08,127.682,134.058,81.845,126.423,81.845
2017-10-13 00:00:00,81.852,117.58,129.046,144.452,134.497,131.947,81.852,130.532,120.93,81.852,81.852,81.852,81.852,130.583,121.785,119.579,122.68,126.3,81.852,81.852,81.852,81.852,81.852,130.64,130.784,128.376,134.338,81.852,127.106,81.852
2017-10-16 00:00:00,82.164,117.178,128.506,143.837,133.935,131.396,82.164,130.087,121.256,82.164,82.164,82.164,82.164,130.735,121.949,119.071,122.783,126.131,82.164,82.164,82.164,82.164,82.164,130.102,130.246,127.842,133.465,82.164,126.339,82.164
2017-10-17 00:00:00,82.208,119.233,128.49,143.912,134.311,131.381,82.208,130.071,121.408,82.208,82.208,82.208,82.208,130.905,122.028,119.351,122.91,126.268,82.208,82.208,82.208,82.208,82.208,130.39,130.476,128.733,133.442,82.208,126.184,82.208
2017-10-18 00:00:00,82.247,118.217,127.703,143.05,133.483,130.566,82.247,129.288,120.932,82.247,82.247,82.247,82.247,130.279,121.529,118.626,122.49,125.883,82.247,82.247,82.247,82.247,82.247,129.604,129.676,127.949,132.879,82.247,125.5,82.247
2017-10-19 00:00:00,82.155,118.312,128.005,143.445,133.941,130.874,82.155,129.588,120.967,82.155,82.155,82.155,82.155,130.413,121.721,118.907,122.656,126.009,82.155,82.155,82.155,82.155,82.155,129.988,130.122,128.249,133.322,82.155,126.054,82.155
2017-10-20 00:00:00,81.883,117.811,127.154,142.504,133.049,130,81.883,128.743,121.357,81.883,81.883,81.883,81.883,129.652,121.176,118.347,121.926,125.319,81.883,81.883,81.883,81.883,81.883,129.138,129.256,127.901,131.589,81.883,125.237,81.883
2017-10-23 00:00:00,81.985,117.887,127.388,143.143,133.572,130.239,81.985,128.973,121.651,81.985,81.985,81.985,81.985,129.72,121.156,118.556,122.081,125.505,81.985,81.985,81.985,81.985,81.985,129.375,129.494,128.132,132.914,81.985,126.316,81.985
2017-10-24 00:00:00,81.864,117.042,126.458,142.11,132.856,129.287,81.864,128.051,121.123,81.864,81.864,81.864,81.864,129.308,120.442,117.665,121.725,125.134,81.864,81.864,81.864,81.864,81.864,128.614,128.668,127.191,131.932,81.864,125.207,81.864
2017-10-25 00:00:00,81.321,116.872,126.27,142.057,132.658,129.094,81.321,128.713,120.581,81.321,81.321,81.321,81.321,128.891,119.957,117.499,121.292,124.479,81.321,81.321,81.321,81.321,81.321,128.419,128.474,127.001,131.892,81.321,125.224,81.321
2017-10-26 00:00:00,80.963,117.453,125.804,141.538,132.164,128.611,80.963,128.244,120.241,80.963,80.963,80.963,80.963,128.545,120.033,117.391,121.118,124.252,80.963,80.963,80.963,80.963,80.963,127.957,127.999,126.515,131.061,80.963,124.725,80.963
2017-10-27 00:00:00,81.078,118.51,126.736,142.569,133.147,129.57,81.078,129.176,120.332,81.078,81.078,81.078,81.078,129.154,120.321,118.257,121.383,124.77,81.078,81.078,81.078,81.078,81.078,128.889,129.133,127.393,132.004,81.078,125.551,81.078
2017-10-30 00:00:00,80.802,119.13,127.263,143.152,133.737,130.111,80.802,129.705,120.904,80.802,80.802,80.802,80.802,130.005,120.93,118.747,122.133,125.59,80.802,80.802,80.802,80.802,80.802,129.417,129.956,128.106,132.558,80.802,126.06,80.802
2017-10-31 00:00:00,81.257,119.08,127.521,142.797,133.665,130.044,81.257,129.637,121.219,81.257,81.257,81.257,81.257,129.996,121.077,118.682,122.304,125.46,81.257,81.257,81.257,81.257,81.257,129.348,129.987,128.173,132.504,81.257,125.818,81.257
2017-11-01 00:00:00,82.458,118.96,127.565,142.844,133.734,130.084,82.458,129.677,121.541,82.458,82.458,82.458,82.458,130.328,121.326,118.725,122.582,125.806,82.458,82.458,82.458,82.458,82.458,129.472,130.427,128.358,132.526,82.458,125.755,82.458
2017-11-02 00:00:00,82.806,119.242,127.873,142.508,134.142,130.402,82.806,129.986,121.883,82.806,82.806,82.806,82.806,130.761,121.328,119.434,122.982,125.957,82.806,82.806,82.806,82.806,82.806,129.781,130.742,128.716,132.495,82.806,126.047,82.806
2017-11-03 00:00:00,82.652,119.508,128.161,142.821,134.442,130.693,82.652,130.27,122.158,82.652,82.652,82.652,82.652,131.018,121.993,119.702,123.17,126.154,82.652,82.652,82.652,82.652,82.652,130.067,131.037,128.921,132.479,82.652,126.322,82.652
2017-11-06 00:00:00,82.976,119.885,128.574,143.012,134.879,131.12,82.976,130.689,122.353,82.976,82.976,82.976,82.976,131.253,122.129,119.994,123.421,126.142,82.976,82.976,82.976,82.976,82.976,130.48,131.464,129.041,132.575,82.976,125.555,82.976
2017-11-07 00:00:00,82.705,120.072,128.877,142.436,134.979,131.216,82.705,130.885,122.552,82.705,82.705,82.705,82.705,131.613,122.411,120.183,123.684,126.603,82.705,82.705,82.705,82.705,82.705,130.56,131.604,129.235,132.639,82.705,125.955,82.705
2017-11-08 00:00:00,82.007,119.736,128.492,142.411,134.738,130.958,82.007,130.564,122.518,82.007,82.007,82.007,82.007,131.247,122.228,119.844,123.578,126.251,82.007,82.007,82.007,82.007,82.007,130.308,131.654,128.978,132.309,82.007,125.742,82.007
2017-11-09 00:00:00,81.135,119.488,128.235,141.655,134.266,130.737,81.135,131.714,122.114,81.135,81.135,81.135,81.135,130.853,121.595,119.504,123.084,125.762,81.135,81.135,81.135,81.135,81.135,130.024,131.376,128.489,132.029,81.135,125.513,81.135
2017-11-10 00:00:00,81.336,118.564,127.915,140.568,134.733,129.696,81.336,130.68,121.087,81.336,81.336,81.336,81.336,129.586,120.736,117.936,122.026,124.515,81.336,81.336,81.336,81.336,81.336,129.027,130.33,127.464,130.96,81.336,124.197,81.336
2017-11-13 00:00:00,81.459,118.459,127.807,140.285,134.076,129.585,81.459,130.519,120.796,81.459,81.459,81.459,81.459,129.763,120.823,117.832,122.003,124.633,81.459,81.459,81.459,81.459,81.459,128.914,130.209,127.35,131.549,81.459,123.775,81.459
2017-11-14 00:00:00,79.951,119.005,128.414,140.918,134.717,130.176,79.951,131.169,121.133,79.951,79.951,79.951,79.951,130.318,120.927,118.394,122.284,124.981,79.951,79.951,79.951,79.951,79.951,129.509,130.814,128.019,130.949,79.951,124.063,79.951
2017-11-15 00:00:00,77.873,119.675,129.149,138.817,135.439,130.946,77.873,131.926,121.759,77.873,77.873,77.873,77.873,131.435,121.346,118.539,122.9,125.791,77.873,77.873,77.873,77.873,77.873,130.491,131.477,128.755,131.69,77.873,124.489,77.873
2017-11-15 00:00:00,77.873,119.675,129.149,138.817,135.439,130.946,77.873,131.926,121.759,77.873,77.873,77.873,77.873,131.435,121.346,118.539,122.9,125.791,77.873,77.873,100.569,77.873,77.873,130.491,131.477,128.755,131.69,77.873,124.489,77.873
2017-11-16 00:00:00,79.075,118.797,128.183,138.133,134.655,129.96,79.075,130.94,121.602,79.075,79.075,79.075,79.075,130.886,121.353,117.665,122.672,124.972,79.075,79.075,79.075,79.075,79.075,129.54,130.477,127.792,130.568,79.075,124.442,79.075
2017-11-17 00:00:00,79.967,119.33,128.77,138.739,135.274,130.559,79.967,131.527,121.838,79.967,79.967,79.967,79.967,129.04,120.887,118.196,122.952,125.428,79.967,79.967,79.967,79.967,79.967,130.12,131.083,128.385,131.021,79.967,125.182,79.967
2017-11-20 00:00:00,79.612,119.017,128.428,138.655,135.237,130.213,79.612,131.179,121.963,79.612,79.612,79.612,79.612,128.903,120.871,117.885,123.033,125.145,79.612,79.612,79.612,79.612,79.612,129.78,130.742,128.082,130.426,79.612,125,79.612
2017-11-21 00:00:00,79.707,119.175,128.603,139.751,135.917,130.395,79.707,131.339,122.234,79.707,79.707,79.707,79.707,129.695,121.166,118.372,123.33,125.232,79.707,79.707,79.707,79.707,79.707,129.955,130.943,128.641,131.029,79.707,125.852,79.707
2017-11-22 00:00:00,80.31,119.6,129.065,140.569,136.405,130.861,80.31,131.829,122.596,80.31,80.31,80.31,80.31,130.152,121.457,118.796,123.604,125.599,80.31,80.31,80.31,80.31,80.31,130.414,131.413,129.104,131.698,80.31,126.307,80.31
2017-11-24 00:00:00,80.692,119.271,128.702,140.184,136.017,130.488,80.692,131.462,122.385,80.692,80.692,80.692,80.692,130.143,121.268,118.467,123.45,125.268,80.692,80.692,80.692,80.692,80.692,130.053,131.043,128.74,131.44,80.692,126.15,80.692
2017-11-27 00:00:00,80.303,119.518,128.972,140.512,136.401,130.776,80.303,131.725,122.796,80.303,80.303,80.303,80.303,130.229,121.199,118.384,123.363,124.96,80.303,80.303,80.303,80.303,80.303,130.326,131.617,128.998,131.338,80.303,126.672,80.303
2017-11-28 00:00:00,80.219,119.534,128.991,140.491,135.95,130.783,80.219,131.78,122.785,80.219,80.219,80.219,80.219,130.517,121.722,118.874,123.438,124.95,80.219,80.219,80.219,80.219,80.219,130.944,132.439,129.046,130.573,80.219,126.778,80.219
2017-11-29 00:00:00,80.182,118.736,128.112,139.559,135.312,129.89,80.182,130.907,122.427,80.182,80.182,80.182,80.182,129.307,121.029,118.097,122.807,123.966,80.182,80.182,80.182,80.182,80.182,130.066,131.533,128.228,129.841,80.182,125.929,80.182
2017-11-30 00:00:00,80.146,118.424,127.775,139.568,135.161,129.552,80.146,130.564,121.813,80.146,80.146,80.146,80.146,129.101,120.646,117.83,122.506,123.627,80.146,80.146,80.146,80.146,80.146,129.785,130.706,127.911,129.622,80.146,125.961,80.146
2017-12-01 00:00:00,80.936,119.115,128.534,140.364,135.964,130.321,80.936,131.319,122.113,80.936,80.936,80.936,80.936,130.263,121.804,118.515,123.409,124.44,80.936,80.936,80.936,80.936,80.936,130.566,131.68,129.798,130.672,80.936,126.683,80.936
2017-12-04 00:00:00,81.393,118.775,128.186,140.323,135.601,129.973,81.393,130.97,121.629,81.393,81.393,81.393,81.393,130.299,122.309,118.487,123.384,124.562,81.393,81.393,81.393,81.393,81.393,130.349,131.328,129.517,130.667,81.393,127.384,81.393
2017-12-05 00:00:00,82.232,119.21,128.536,141.113,135.973,130.328,82.232,132.682,121.494,82.232,82.232,82.232,82.232,130.673,122.612,118.841,123.756,129.137,82.232,82.232,82.232,82.232,82.232,130.758,132.067,129.871,131.015,82.232,127.793,82.232
2017-12-06 00:00:00,81.491,119.487,128.732,141.337,136.2,130.528,81.491,132.826,121.7,81.491,81.491,81.491,81.491,130.98,123.055,119.026,124.226,128.533,81.491,81.491,81.491,81.491,81.491,130.888,132.217,130.14,131.336,81.491,127.94,81.491
2017-12-07 00:00:00,81.39,119.112,128.324,140.684,135.785,130.095,81.39,132.379,121.22,81.39,81.39,81.39,81.39,130.317,122.743,118.45,123.968,127.953,81.39,81.39,81.39,81.39,81.39,130.479,131.787,129.746,130.907,81.39,127.216,81.39
2017-12-08 00:00:00,81.556,119.03,128.232,140.555,135.765,130.012,81.556,132.296,120.975,81.556,81.556,81.556,81.556,130.297,122.655,118.368,123.573,128.083,81.556,81.556,81.556,81.556,81.556,130.396,131.673,129.687,130.801,81.556,127.46,81.556
2017-12-11 00:00:00,81.183,118.886,128.073,141.188,135.595,129.851,81.183,132.128,120.933,81.183,81.183,81.183,81.183,130.115,122.579,118.23,123.457,128.253,81.183,81.183,81.183,81.183,81.183,130.235,131.509,129.557,130.649,81.183,127.571,81.183
2017-12-12 00:00:00,81.515,118.763,127.939,141.048,135.821,129.732,81.515,132.008,120.922,81.515,81.515,81.515,81.515,130.101,122.366,118.112,123.306,128.582,81.515,81.515,81.515,81.515,81.515,130.449,131.411,129.457,130.998,81.515,127.572,81.515
2017-12-13 00:00:00,81.541,119.598,128.891,142.032,136.798,130.652,81.541,132.915,121.49,81.541,81.541,81.541,81.541,130.933,122.83,118.952,123.813,129.425,81.541,81.541,81.541,81.541,81.541,131.338,132.316,132.141,131.513,81.541,128.363,81.541
2017-12-14 00:00:00,81.511,119.744,129.04,141.907,136.961,130.811,81.511,133.12,122.332,81.511,81.511,81.511,81.511,131.375,123.144,119.097,124.156,130.837,81.511,81.511,81.511,81.511,81.511,131.523,132.485,132.505,131.697,81.511,128.531,81.511
2017-12-15 00:00:00,81.073,119.887,129.206,142.087,137.16,130.995,81.073,133.286,122.789,81.073,81.073,81.073,81.073,131.708,123.434,119.242,124.519,131.423,81.073,81.073,81.073,81.073,81.073,131.682,132.674,132.683,131.845,81.073,128.87,81.073
2017-12-18 00:00:00,80.759,119.161,128.452,141.41,136.302,130.174,80.759,132.476,122.031,80.759,80.759,80.759,80.759,130.962,123.099,118.168,124.182,130.343,80.759,80.759,80.759,80.759,80.759,130.881,131.85,131.689,131.039,80.759,127.655,80.759
2017-12-19 00:00:00,80.468,118.398,127.611,140.509,135.416,129.32,80.468,131.624,121.274,80.468,80.468,80.468,80.468,129.833,122.168,117.408,123.25,129.485,80.468,80.468,80.468,80.468,80.468,130.038,130.998,130.831,130.174,80.468,126.77,80.468
2017-12-20 00:00:00,80.307,117.804,127.012,139.78,134.692,128.624,80.307,130.957,120.424,80.307,80.307,80.307,80.307,129.902,121.177,116.794,122.303,128.193,80.307,80.307,80.307,80.307,80.307,129.382,130.31,130.154,129.148,80.307,125.76,80.307
2017-12-21 00:00:00,80.369,117.894,127.132,140.364,134.983,128.771,80.369,131.052,120.571,80.369,80.369,80.369,80.369,130.326,121.329,117,122.45,128.989,80.369,80.369,80.369,80.369,80.369,129.477,130.641,130.253,129.931,80.369,126.796,80.369
2017-12-22 00:00:00,79.986,118.141,127.408,140.66,135.284,129.038,79.986,131.341,120.673,79.986,79.986,79.986,79.986,130.458,121.592,117.234,122.631,129.135,79.986,79.986,79.986,79.986,79.986,129.76,130.914,130.541,130.218,79.986,126.909,79.986
2017-12-26 00:00:00,80.423,118.349,127.638,140.906,135.551,129.296,80.423,131.59,120.832,80.423,80.423,80.423,80.423,130.587,121.896,117.988,122.838,129.481,80.423,80.423,80.423,80.423,80.423,129.985,131.153,130.799,130.475,80.423,127.13,80.423
2017-12-27 00:00:00,80.926,119.176,128.509,142.117,136.559,130.208,80.926,132.457,121.518,80.926,80.926,80.926,80.926,131.734,122.713,118.839,123.635,130.651,80.926,80.926,80.926,80.926,80.926,130.899,132.271,131.724,131.768,80.926,128.28,80.926
2017-12-28 00:00:00,80.978,118.88,128.218,142.016,136.036,129.887,80.978,132.213,121.597,80.978,80.978,80.978,80.978,131.645,122.798,118.556,123.805,130.838,80.978,80.978,80.978,80.978,80.978,130.57,131.928,131.38,131.804,80.978,127.932,80.978
2017-12-29 00:00:00,81.283,119.126,128.472,142.305,136.312,130.138,81.283,132.481,121.623,81.283,81.283,81.283,81.283,131.898,122.904,118.797,123.96,131.202,81.283,81.283,81.283,81.283,81.283,130.834,132.201,131.65,132.072,81.283,128.188,81.283
2018-01-02 00:00:00,81.511,118.355,127.656,141.183,135.429,129.289,81.511,131.647,120.944,81.511,81.511,81.511,81.511,130.979,122.128,118.368,123.235,129.69,81.511,81.511,81.511,81.511,81.511,130.004,131.345,130.796,131.106,81.511,127.068,81.511
2018-01-03 00:00:00,82.96,118.45,129.57,141.271,135.603,129.377,82.96,131.775,121.548,82.96,82.96,82.96,82.96,131.478,122.228,118.448,123.6,130.002,82.96,82.96,82.96,82.96,82.96,130.111,131.834,130.973,130.892,82.96,127.45,82.96
2018-01-04 00:00:00,84.249,118.468,129.587,141.281,135.639,129.551,84.249,131.708,121.738,84.249,84.249,84.249,84.249,131.446,122.182,118.461,123.583,129.333,84.249,84.249,84.249,84.249,84.249,130.123,131.869,130.903,130.866,84.249,127.131,84.249
2018-01-05 00:00:00,85.221,118.108,129.184,140.854,135.27,129.15,85.221,131.303,121.665,85.221,85.221,85.221,85.221,131.154,122.152,118.215,123.479,129.222,85.221,85.221,85.221,85.221,85.221,129.737,131.468,130.494,130.469,85.221,126.739,85.221
2018-01-08 00:00:00,85.394,118.068,129.172,141.209,135.257,129.138,85.394,131.384,121.59,85.394,85.394,85.394,85.394,131.062,122.126,118.216,123.356,129.231,85.394,85.394,85.394,85.394,85.394,129.773,131.479,130.447,130.458,85.394,126.868,85.394
2018-01-09 00:00:00,85.413,117.007,127.947,140.326,134.011,127.958,85.413,130.108,120.641,85.413,85.413,85.413,85.413,129.901,121.433,117.104,122.531,128.312,85.413,85.413,85.413,85.413,85.413,128.562,130.205,129.23,129.275,85.413,125.015,85.413
2018-01-10 00:00:00,85.796,117.056,128.001,140.357,134.26,128.013,85.796,130.808,120.268,85.796,85.796,85.796,85.796,129.818,120.935,117.591,122.212,128.847,85.796,85.796,85.796,85.796,85.796,128.605,130.261,129.288,129.477,85.796,125.087,85.796
2018-01-11 00:00:00,86.172,117.133,128.105,140.467,134.702,128.139,86.172,130.926,120.622,86.172,86.172,86.172,86.172,130.196,121.224,118.008,122.548,129.512,86.172,86.172,86.172,86.172,86.172,128.707,130.425,129.38,130.1,86.172,125.524,86.172
2018-01-12 00:00:00,86.167,117.269,128.565,140.86,135.146,128.272,86.167,131.057,120.891,86.167,86.167,86.167,86.167,130.385,121.588,118.132,122.814,129.714,86.167,86.167,86.167,86.167,86.167,129.048,130.823,129.668,130.642,86.167,125.655,86.167
2018-01-16 00:00:00,86.312,117.301,128.618,141.317,135.175,128.311,86.312,131.127,121.293,86.312,86.312,86.312,86.312,130.773,122.107,118.167,123.195,130.054,86.312,86.312,86.312,86.312,86.312,129.422,130.861,130.17,129.906,86.312,126.386,86.312
2018-01-17 00:00:00,85.821,116.66,127.898,140.582,134.432,127.638,85.821,130.456,121.363,85.821,85.821,85.821,85.821,130.693,122.247,117.545,123.23,129.886,85.821,85.821,85.821,85.821,85.821,128.694,130.092,129.484,127.998,85.821,126.322,85.821
2018-01-18 00:00:00,85.651,115.981,127.113,139.717,133.619,126.83,85.651,129.649,120.831,85.651,85.651,85.651,85.651,129.815,121.128,117.404,122.571,129,85.651,85.651,85.651,85.651,85.651,127.953,129.349,128.661,126.824,85.651,125.238,85.651
2018-01-19 00:00:00,85.115,115.248,125.779,138.75,132.849,125.498,85.115,128.28,120.298,85.115,85.115,85.115,85.115,129.277,120.854,116.663,121.965,128.576,85.115,85.115,85.115,85.115,85.115,126.695,128.912,128.11,126.431,85.115,124.384,85.115
2018-01-22 00:00:00,85.15,115.491,126.054,139.044,133.176,126.056,85.15,128.691,120.3,85.15,85.15,85.15,85.15,129.333,121,116.915,121.987,128.637,85.15,85.15,85.15,85.15,85.15,126.966,129.546,128.415,125.323,85.15,124.663,85.15
2018-01-23 00:00:00,86.081,116.633,126.885,139.635,133.904,126.883,86.081,129.527,120.526,86.081,86.081,86.081,86.081,129.854,121.386,117.686,122.311,128.977,86.081,86.081,86.081,86.081,86.081,128.069,130.402,129.157,125.97,86.081,125.621,86.081
2018-01-24 00:00:00,86.725,116.17,126.386,139.089,133.424,128.755,86.725,129.088,119.737,86.725,86.725,86.725,86.725,130.271,120.866,117.221,121.835,128.704,86.725,86.725,86.725,86.725,86.725,127.581,130.062,128.641,125.435,86.725,125.612,86.725
2018-01-25 00:00:00,87.154,116.835,127.492,139.879,134.466,129.629,87.154,131.763,120.169,87.154,87.154,87.154,87.154,131.212,121.273,117.94,122.246,129.455,87.154,87.154,87.154,87.154,87.154,128.336,130.655,129.164,126.071,87.154,126.169,87.154
2018-01-26 00:00:00,87.278,116.238,126.828,139.526,133.768,128.796,87.278,131.091,120.378,87.278,87.278,87.278,87.278,130.898,121.207,117.328,122.105,129.122,87.278,87.278,87.278,87.278,87.278,128.469,130.008,128.744,125.426,87.278,126.008,87.278
2018-01-29 00:00:00,86.766,115.694,129.714,138.867,133.123,128.171,86.766,130.464,119.67,86.766,86.766,86.766,86.766,130.373,120.757,116.821,121.684,128.663,86.766,86.766,86.766,86.766,86.766,127.867,129.405,128.117,124.864,86.766,125.519,86.766
2018-01-30 00:00:00,85.965,115.451,129.435,138.575,132.841,127.905,85.965,130.199,119.171,85.965,85.965,85.965,85.965,129.737,120.316,116.576,121.255,128.307,85.965,85.965,85.965,85.965,85.965,127.569,129.163,127.849,124.598,85.965,124.794,85.965
2018-01-31 00:00:00,86.051,115.755,129.594,139.106,133.51,127.953,86.051,130.251,119.353,86.051,86.051,86.051,86.051,130.319,120.46,116.62,121.546,128.719,86.051,86.051,86.051,86.051,86.051,127.661,129.762,128.182,125.338,86.051,125.262,86.051
2018-02-01 00:00:00,85.612,114.557,128.483,137.661,132.123,126.593,85.612,128.884,118.634,85.612,85.612,85.612,85.612,129.006,119.905,115.407,121.006,127.586,85.612,85.612,85.612,85.612,85.612,129.353,128.548,126.876,124.092,85.612,123.828,85.612
2018-02-02 00:00:00,85.114,113.909,127.709,136.902,131.539,125.856,85.114,128.145,116.957,85.114,85.114,85.114,85.114,128.112,118.944,114.733,119.993,126.789,85.114,85.114,85.114,85.114,85.114,128.605,127.918,126.069,123.315,85.114,123.709,85.114
2018-02-05 00:00:00,84.344,115.44,128.819,137.699,132.282,127.568,84.344,129.87,116.789,84.344,84.344,84.344,84.344,128.854,118.764,115.782,119.983,127.63,84.344,84.344,84.344,84.344,84.344,130.331,129.01,127.285,122.909,84.344,124.497,84.344
2018-02-06 00:00:00,82.991,114.453,127.393,136.228,131.728,126.494,82.991,128.787,116.98,82.991,82.991,82.991,82.991,128.575,119.018,114.785,120.262,126.72,82.991,82.991,82.991,82.991,82.991,129.241,127.854,126.136,121.928,82.991,122.997,82.991
2018-02-07 00:00:00,83.012,114.127,126.898,136.348,131.288,126.089,83.012,128.445,116.459,83.012,83.012,83.012,83.012,127.414,118.27,114.469,119.673,126.105,83.012,83.012,83.012,83.012,83.012,128.837,127.433,125.772,122.081,83.012,122.617,83.012
2018-02-08 00:00:00,82.053,114.028,126.652,135.656,130.694,125.951,82.053,129.183,115.826,82.053,82.053,82.053,82.053,127.149,117.962,114.384,119.215,125.674,82.053,82.053,82.053,82.053,82.053,128.747,127.087,125.755,121.038,82.053,122.111,82.053
2018-02-09 00:00:00,79.477,113.512,125.927,135.063,129.939,125.721,79.477,128.951,115.531,79.477,79.477,79.477,79.477,126.358,117.64,113.908,118.732,124.526,79.477,79.477,79.477,79.477,79.477,128.212,126.541,124.979,119.71,79.477,119.869,79.477
2018-02-12 00:00:00,81.34,113.472,126.096,135.145,130.433,125.627,81.34,128.888,116.099,81.34,81.34,81.34,81.34,126.697,117.819,113.867,118.928,124.698,81.34,81.34,81.34,81.34,81.34,128.166,126.984,124.969,119.548,81.34,120.401,81.34
2018-02-13 00:00:00,80.678,113.723,126.665,134.955,130.45,126.169,80.678,129.433,116.301,80.678,80.678,80.678,80.678,126.804,118.007,114.329,119.101,124.792,80.678,80.678,80.678,80.678,80.678,128.662,127.53,125.427,119.584,80.678,119.891,80.678
2018-02-14 00:00:00,81.069,112.702,125.52,134.431,129.467,125.113,81.069,128.327,115.961,81.069,81.069,81.069,81.069,126.436,117.461,113.342,118.575,124.269,81.069,81.069,81.069,81.069,81.069,127.485,126.594,124.193,118.904,81.069,120.28,81.069
2018-02-15 00:00:00,81.815,112.653,125.978,134.8,129.852,124.98,81.815,128.226,115.943,81.815,81.815,81.815,81.815,126.376,117.493,113.264,118.575,124.804,81.815,81.815,81.815,81.815,81.815,127.344,126.398,124.292,119.164,81.815,120.642,81.815
2018-02-16 00:00:00,81.77,113.055,125.891,135.255,130.446,125.438,81.77,128.655,116.244,81.77,81.77,81.77,81.77,126.811,117.833,113.682,119.018,125.325,81.77,81.77,81.77,81.77,81.77,127.788,127.142,124.752,119.64,81.77,121.038,81.77
2018-02-20 00:00:00,81.918,112.929,125.751,135.104,130.292,125.295,81.918,128.508,116.022,81.918,81.918,81.918,81.918,126.393,117.608,113.556,118.648,125.488,81.918,81.918,81.918,81.918,81.918,127.484,126.92,124.566,119.617,81.918,121.047,81.918
2018-02-21 00:00:00,80.286,111.932,124.603,133.924,129.096,124.155,80.286,127.354,117.261,80.286,80.286,80.286,80.286,127.151,116.708,114.609,117.972,124.292,80.286,80.286,80.286,80.286,80.286,126.395,125.825,123.536,118.577,80.286,119.976,80.286
2018-02-22 00:00:00,80.326,112.343,125.073,134.388,129.56,124.615,80.326,127.816,117.461,80.326,80.326,80.326,80.326,127.411,116.664,115.009,117.905,124.507,80.326,80.326,80.326,80.326,80.326,126.423,126.012,123.937,118.6,80.326,120.611,80.326
2018-02-23 00:00:00,80.634,113.211,126.045,134.953,130.586,125.605,80.634,128.823,118.159,80.634,80.634,80.634,80.634,127.368,116.894,115.92,118.415,124.392,80.634,80.634,80.634,80.634,80.634,127.391,126.502,124.499,119.145,80.634,121.045,80.634
2018-02-26 00:00:00,81.016,113.383,125.967,136.111,130.737,125.807,81.016,128.888,118.452,81.016,81.016,81.016,81.016,127.381,117.269,115.121,118.766,124.166,81.016,81.016,81.016,81.016,81.016,127.592,126.671,124.681,119.557,81.016,121.358,81.016
2018-02-27 00:00:00,80.678,112.822,125.647,134.587,130.024,125.175,80.678,128.244,118.05,80.678,80.678,80.678,80.678,127.985,116.968,114.53,118.583,124.415,80.678,80.678,80.678,80.678,80.678,126.792,126.154,124.356,118.842,80.678,120.756,80.678
2018-02-28 00:00:00,80.402,113.274,126.224,134.382,130.245,125.71,80.402,128.781,118.285,80.402,80.402,80.402,80.402,126.649,117.315,115.015,118.9,124.892,80.402,80.402,80.402,80.402,80.402,127.309,126.677,124.863,119.289,80.402,120.83,80.402
2018-03-01 00:00:00,79.072,113.532,126.748,134.722,130.514,126.486,79.072,129.573,118.414,79.072,79.072,79.072,79.072,127.248,117.915,115.72,119.132,124.914,79.072,79.072,79.072,79.072,79.072,128.088,126.948,125.362,119.619,79.072,120.683,79.072
2018-03-02 00:00:00,79.116,112.814,126.023,133.649,129.589,125.66,79.116,128.74,117.921,79.116,79.116,79.116,79.116,126.486,117.52,114.977,118.749,123.537,79.116,79.116,79.116,79.116,79.116,127.272,125.883,124.38,118.845,79.116,119.686,79.116
2018-03-05 00:00:00,79.369,112.679,125.83,133.802,129.436,125.519,79.369,128.597,118.485,79.369,79.369,79.369,79.369,127.522,116.898,114.848,118.452,124.302,79.369,79.369,79.369,79.369,79.369,127.111,125.67,124.205,118.642,79.369,119.896,79.369
2018-03-06 00:00:00,79.772,112.977,126.449,134.569,130.252,125.878,79.772,128.971,118.545,79.772,79.772,79.772,79.772,128.16,117.086,115.144,118.599,124.041,79.772,79.772,79.772,79.772,79.772,127.431,126.053,124.64,119.638,79.772,120.917,79.772
